ticker,source,trust,snapshot_date,downloaded_at,contract_symbol,contract_label,option_type,expiration,dte,strike,underlying_price,moneyness,bid,ask,mid,last,volume,open_interest,implied_volatility,iv,iv_rank,iv_percentile,delta,gamma,theta,vega,rho,itm_probability,otm_probability,profit_probability,spread,spread_pct_of_mid,entry_premium_mid,entry_premium_ask,entry_premium_realistic,entry_premium_selected,entry_price_mode,exit_premium_conservative,breakeven_mid,breakeven_ask,barchart_be_bid,barchart_be_ask,barchart_be_mid,moneyness_decimal,moneyness_bucket,links,quality_flags,liquidity_bucket,model_eligible
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,11C Jun-26,call,2026-06-18,45,11.0,18.07,0.39130000000000004,6.7,7.5,7.1,6.99,9,14,0.7216,0.7216,0.3567,0.51,0.980532,0.009796,-0.002174,0.002796,0.007607,0.9749,0.025099999999999997,0.5325,0.7999999999999998,0.11267605633802814,7.1,7.5,7.3,7.1,mid,6.7,18.1,18.5,17.7,18.5,18.1,0.39130000000000004,deep_itm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,14C Jun-26,call,2026-06-18,45,14.0,18.07,0.22519999999999998,3.7,4.8,4.25,3.8,0,136,0.5943999999999999,0.5943999999999999,0.3567,0.51,0.906414,0.043501,-0.006932,0.010396,0.012776,0.8893000000000001,0.1107,0.5395,1.0999999999999996,0.2588235294117646,4.25,4.8,4.525,4.25,mid,3.7,18.25,18.8,17.7,18.8,18.25,0.22519999999999998,itm,,zero_volume;wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,15C Jun-26,call,2026-06-18,45,15.0,18.07,0.1699,2.9,4.0,3.45,3.5,0,270,0.6114999999999999,0.6114999999999999,0.3567,0.51,0.834241,0.063482,-0.010711,0.015619,0.013,0.8070999999999999,0.1929,0.5176,1.1,0.31884057971014496,3.45,4.0,3.725,3.45,mid,2.9,18.45,19.0,17.9,19.0,18.45,0.1699,itm,,zero_volume;wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,16C Jun-26,call,2026-06-18,45,16.0,18.07,0.11460000000000001,2.75,3.2,2.98,2.9,14,587,0.698,0.698,0.3567,0.51,0.731646,0.073983,-0.016211,0.020778,0.011868,0.6901999999999999,0.3098,0.4401,0.4500000000000002,0.15100671140939603,2.98,3.2,3.0925000000000002,2.98,mid,2.75,18.98,19.2,18.75,19.2,18.98,0.11460000000000001,itm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,17C Jun-26,call,2026-06-18,45,17.0,18.07,0.0592,2.15,2.55,2.35,2.31,19,282,0.7012,0.7012,0.3567,0.51,0.644709,0.083342,-0.01843,0.023517,0.010945,0.5979,0.4021,0.4068,0.3999999999999999,0.17021276595744678,2.35,2.55,2.45,2.35,mid,2.15,19.35,19.55,19.15,19.55,19.35,0.0592,itm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,18C Jun-26,call,2026-06-18,45,18.0,18.07,0.0039000000000000003,1.7,2.1,1.9,1.85,10,96,0.7184,0.7184,0.3567,0.51,0.556576,0.086363,-0.020036,0.024968,0.009741,0.5061,0.4939,0.366,0.40000000000000013,0.21052631578947376,1.9,2.1,2.0,1.9,mid,1.7,19.9,20.1,19.7,20.1,19.9,0.0039000000000000003,atm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,19C Jun-26,call,2026-06-18,45,19.0,18.07,-0.051500000000000004,1.25,1.6,1.43,1.2,10,153,0.7139,0.7139,0.3567,0.51,0.470726,0.087617,-0.020072,0.025174,0.008491,0.4207,0.5793,0.3248,0.3500000000000001,0.24475524475524482,1.43,1.6,1.5175,1.43,mid,1.25,20.43,20.6,20.25,20.6,20.43,-0.051500000000000004,otm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,20C Jun-26,call,2026-06-18,45,20.0,18.07,-0.10679999999999999,0.95,1.4,1.17,1.05,1,294,0.6973,0.6973,0.3567,0.51,0.385897,0.086286,-0.018858,0.024216,0.00716,0.3393,0.6607,0.2729,0.44999999999999996,0.3846153846153846,1.17,1.4,1.2825,1.17,mid,0.95,21.17,21.4,20.95,21.4,21.17,-0.10679999999999999,otm,,wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,21C Jun-26,call,2026-06-18,45,21.0,18.07,-0.16210000000000002,0.7,1.1,0.9,0.65,0,22,0.747,0.747,0.3567,0.51,0.330048,0.076281,-0.01912,0.022936,0.00613,0.2834,0.7166,0.2426,0.40000000000000013,0.4444444444444446,0.9,1.1,1.0,0.9,mid,0.7,21.9,22.1,21.7,22.1,21.9,-0.16210000000000002,otm,,zero_volume;wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,22C Jun-26,call,2026-06-18,45,22.0,18.07,-0.2175,0.4,1.0,0.7,0.0,0,31,0.754,0.754,0.3567,0.51,0.271331,0.069187,-0.017661,0.020997,0.005111,0.2286,0.7714,0.2086,0.6,0.8571428571428572,0.7,1.0,0.85,0.7,mid,0.4,22.7,23.0,22.4,23.0,22.7,-0.2175,otm,,zero_volume;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,23C Jun-26,call,2026-06-18,45,23.0,18.07,-0.2728,0.25,0.75,0.5,0.45,0,16,0.7373000000000001,0.7373000000000001,0.3567,0.51,0.211912,0.061853,-0.015101,0.018359,0.004063,0.1757,0.8243,0.16510000000000002,0.5,1.0,0.5,0.75,0.625,0.5,mid,0.25,23.5,23.75,23.25,23.75,23.5,-0.2728,otm,,zero_volume;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,24C Jun-26,call,2026-06-18,45,24.0,18.07,-0.3282,0.05,0.7,0.38,0.35,0,3,0.7386,0.7386,0.3567,0.51,0.16805,0.053537,-0.013115,0.01592,0.003254,0.1369,0.8631,0.1352,0.6499999999999999,1.7105263157894735,0.38,0.7,0.5425,0.38,mid,0.05,24.38,24.7,24.05,24.7,24.38,-0.3282,deep_otm,,zero_volume;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,25C Jun-26,call,2026-06-18,45,25.0,18.07,-0.3835,0.05,0.5,0.28,0.25,0,28,0.7363,0.7363,0.3567,0.51,0.130624,0.045383,-0.011047,0.013454,0.002555,0.10460000000000001,0.8954000000000001,0.1032,0.45,1.607142857142857,0.28,0.5,0.3925,0.28,mid,0.05,25.28,25.5,25.05,25.5,25.28,-0.3835,deep_otm,,zero_volume;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,26C Jun-26,call,2026-06-18,45,26.0,18.07,-0.4388,0.15,0.3,0.22,0.25,104,2,0.7765000000000001,0.7765000000000001,0.3567,0.51,0.115981,0.039591,-0.010716,0.012379,0.002261,0.091,0.909,0.0876,0.15,0.6818181818181818,0.22,0.3,0.2575,0.22,mid,0.15,26.22,26.3,26.15,26.3,26.22,-0.4388,deep_otm,,very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,27C Jun-26,call,2026-06-18,45,27.0,18.07,-0.49420000000000003,0.0,0.5,0.25,0.0,0,0,0.8321999999999999,0.8321999999999999,0.3567,0.51,0.110145,0.035607,-0.011065,0.011932,0.002127,0.08470000000000001,0.9153,0.08470000000000001,0.5,2.0,0.25,0.5,0.375,0.25,mid,0.0,27.25,27.5,27.0,27.5,27.25,-0.49420000000000003,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,28C Jun-26,call,2026-06-18,45,28.0,18.07,-0.5495,0.0,0.55,0.28,0.0,0,0,0.9059,0.9059,0.3567,0.51,0.112045,0.033114,-0.012188,0.012079,0.002134,0.0843,0.9157,0.0843,0.55,1.9642857142857142,0.28,0.55,0.41750000000000004,0.28,mid,0.0,28.28,28.55,28.0,28.55,28.28,-0.5495,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,30C Jun-26,call,2026-06-18,45,30.0,18.07,-0.6602,0.0,0.55,0.28,0.0,0,4,1.0041,1.0041,0.3567,0.51,0.103872,0.028289,-0.012788,0.011438,0.001948,0.07519999999999999,0.9248000000000001,0.07519999999999999,0.55,1.9642857142857142,0.28,0.55,0.41750000000000004,0.28,mid,0.0,30.28,30.55,30.0,30.55,30.28,-0.6602,deep_otm,,zero_volume;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
